"CN","DistinguishedName","PasswordLastSet","OperatingSystem","OperatingSystemVersion"
"RI-HVS-010","CN=RI-HVS-010,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/11/2020 3:16:58 PM","Hyper-V Server 2016","10.0 (14393)"
"ACE-HVS-002","CN=ACE-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/22/2020 12:27:10 AM","Hyper-V Server 2016","10.0 (14393)"
"SHEP-HVS-006","CN=SHEP-HVS-006,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/27/2020 8:46:14 PM","Hyper-V Server 2016","10.0 (14393)"
"SHEP-HVS-007","CN=SHEP-HVS-007,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/25/2020 10:20:51 AM","Hyper-V Server 2016","10.0 (14393)"
"ODC-HVS-005","CN=ODC-HVS-005,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/20/2020 7:26:37 PM","Hyper-V Server 2016","10.0 (14393)"
"RI-DT-020","CN=RI-DT-020,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/20/2020 1:53:30 AM","Windows 7 Professional","6.1 (7601)"
"SHEP-HVS-008","CN=SHEP-HVS-008,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/12/2020 1:19:55 PM","Hyper-V Server 2016","10.0 (14393)"
"ENHC-HVS-001","CN=ENHC-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/26/2020 2:25:40 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-2019-001","CN=RI-2019-001,CN=Computers,DC=RI,DC=Ads","1/10/2020 10:53:21 AM","Windows Server 2019 Standard","10.0 (17763)"
"RI-WU-TEST","CN=RI-WU-TEST,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","1/15/2020 1:40:59 PM","Windows 10 Pro","10.0 (16299)"
"RI-HVS-901","CN=RI-HVS-901,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/16/2020 6:53:34 PM","Hyper-V Server","10.0 (17763)"
"BRIO-HVS-002","CN=BRIO-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","4/7/2020 5:31:50 PM","Hyper-V Server","10.0 (17763)"
